datetime,open,high,low,close,volume
2022-06-06 09:30:00-04:00,147.02999877929688,148.44000244140625,147.02999877929688,148.2100067138672,17131905
2022-06-06 10:30:00-04:00,148.2100067138672,148.5688934326172,146.00999450683594,146.55909729003906,10939649
2022-06-06 11:30:00-04:00,146.55999755859375,146.8000030517578,145.39999389648438,145.5800018310547,7207127
2022-06-06 12:30:00-04:00,145.5800018310547,146.22999572753906,145.1999969482422,145.88009643554688,6199590
2022-06-06 13:30:00-04:00,145.87010192871094,146.88999938964844,145.66000366210938,145.75999450683594,6957203
2022-06-06 14:30:00-04:00,145.75,145.97000122070312,144.89999389648438,145.34950256347656,9735989
2022-06-06 15:30:00-04:00,145.34500122070312,146.47000122070312,145.24009704589844,146.13999938964844,7360212
2022-06-07 09:30:00-04:00,144.34500122070312,147.2899932861328,144.10000610351562,147.17999267578125,18595457
2022-06-07 10:30:00-04:00,147.17999267578125,148.3000030517578,146.92999267578125,146.97000122070312,10470154
2022-06-07 11:30:00-04:00,146.97000122070312,147.75,146.78500366210938,147.27999877929688,6150600
2022-06-07 12:30:00-04:00,147.27999877929688,148.26100158691406,147.13999938964844,148.1699981689453,5565660
2022-06-07 13:30:00-04:00,148.17999267578125,148.9499969482422,148.02999877929688,148.7550048828125,6592406
2022-06-07 14:30:00-04:00,148.75059509277344,148.97000122070312,148.0800018310547,148.64500427246094,6235021
2022-06-07 15:30:00-04:00,148.63999938964844,149.0,148.52999877929688,148.69000244140625,6820531
2022-06-08 09:30:00-04:00,148.5800018310547,149.80999755859375,148.110595703125,149.1300048828125,15959227
2022-06-08 10:30:00-04:00,149.13999938964844,149.64720153808594,148.64999389648438,149.360107421875,7226452
2022-06-08 11:30:00-04:00,149.3699951171875,149.60000610351562,148.5500030517578,148.8000030517578,4862136
2022-06-08 12:30:00-04:00,148.8000030517578,148.80999755859375,147.74000549316406,147.85000610351562,5098790
2022-06-08 13:30:00-04:00,147.83999633789062,148.42999267578125,147.4600067138672,147.85000610351562,5298733
2022-06-08 14:30:00-04:00,147.83009338378906,148.38999938964844,147.5648956298828,148.22000122070312,5227714
2022-06-08 15:30:00-04:00,148.22999572753906,148.47000122070312,147.64999389648438,148.0,4883571
2022-06-09 09:30:00-04:00,147.0800018310547,147.8800048828125,146.30999755859375,147.07000732421875,16950588
2022-06-09 10:30:00-04:00,147.0800018310547,147.39999389648438,145.9499969482422,146.3350067138672,7634624
2022-06-09 11:30:00-04:00,146.33680725097656,146.9199981689453,145.8000030517578,146.15859985351562,6373167
2022-06-09 12:30:00-04:00,146.16000366210938,146.63999938964844,145.9600067138672,146.03500366210938,5014257
2022-06-09 13:30:00-04:00,146.02999877929688,146.0500030517578,145.3300018310547,145.53500366210938,5414677
2022-06-09 14:30:00-04:00,145.5399932861328,145.5399932861328,143.61000061035156,143.61500549316406,9616535
2022-06-09 15:30:00-04:00,143.6199951171875,143.8000030517578,142.52999877929688,142.60000610351562,9589076
2022-06-10 09:30:00-04:00,140.19000244140625,140.75999450683594,137.4600067138672,137.49000549316406,23421485
2022-06-10 10:30:00-04:00,137.48989868164062,138.53900146484375,137.27000427246094,137.39999389648438,13497913
2022-06-10 11:30:00-04:00,137.41099548339844,138.07000732421875,137.2899932861328,137.97500610351562,7736991
2022-06-10 12:30:00-04:00,137.97999572753906,138.2100067138672,137.4600067138672,138.08999633789062,6411832
2022-06-10 13:30:00-04:00,138.08999633789062,138.74000549316406,137.72999572753906,137.9600067138672,7293856
2022-06-10 14:30:00-04:00,137.9600067138672,139.1649932861328,137.9499969482422,138.8699951171875,9610015
